topic	req_id	source	source_ref	subcategory	feature	mctash_default	mctash_posix	tests	notes
builtin:wait	BPOSIX.CORE.074	bash-posix-doc	bash/POSIX 6.11.2 item 74	jobs-signals	The arrival of ‘SIGCHLD’ when a trap is set on ‘SIGCHLD’ does not interrupt the ‘wait’ builtin and cause it to return immediately. The trap command is run once for each child that exits.	covered	covered	bash-posix-doc-074.sh	Strict comparator case validates POSIX row 74 behavior in current runtime lane.
builtin:wait	BPOSIX.CORE.075	bash-posix-doc	bash/POSIX 6.11.2 item 75	builtins	Bash removes an exited background process's status from the list of such statuses after the ‘wait’ builtin returns it.	covered	covered	bash-posix-doc-075.sh	Strict comparator case validates POSIX row 75 behavior in current runtime lane.
builtin:wait	C5.BUILTIN.WAIT	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	wait	covered	covered	man-bash-posix-03-io-signals	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:wait	C8.JOB.05	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	wait builtin with pid/jobspec and status propagation	covered	covered	man-ash-kill-wait.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:wait	C8.JOB.28	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	with job control enabled, `wait` returns on job state change	covered	covered	run_jobs_interactive_matrix.sh	Interactive strict matrix `wait-state-change` lane asserts `wait %1` returns stop-status (`147`) after `SIGSTOP` transition before termination.; design:docs/design/job-control-runtime-model.md
builtin:wait	C8.JOB.29	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	`wait -f` waits for termination (not merely state change)	covered	covered	run_jobs_interactive_matrix.sh	Interactive strict matrix `wait-f-termination` lane asserts `wait -f %1` ignores stop/continue transitions and returns termination status (`143`).; design:docs/design/job-control-runtime-model.md
runtime:history	C1.OPT.SETO.HISTEXPAND	bash-man	bash(1) section set builtin	invocation.set-o-option	histexpand	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
runtime:history	C11.SHOPT.CMDHIST	bash-man	bash(1) section SHELL BUILTIN COMMANDS (shopt)	shopt-option-surface	cmdhist	covered	covered	bash-man-shopt-surface.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:history	C11.SHOPT.HISTAPPEND	bash-man	bash(1) section SHELL BUILTIN COMMANDS (shopt)	shopt-option-surface	histappend	covered	covered	bash-man-shopt-surface.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:history	C11.SHOPT.HISTREEDIT	bash-man	bash(1) section SHELL BUILTIN COMMANDS (shopt)	shopt-option-surface	histreedit	covered	covered	bash-man-shopt-surface.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:history	C11.SHOPT.HISTVERIFY	bash-man	bash(1) section SHELL BUILTIN COMMANDS (shopt)	shopt-option-surface	histverify	covered	covered	bash-man-shopt-surface.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:history	C11.SHOPT.LITHIST	bash-man	bash(1) section SHELL BUILTIN COMMANDS (shopt)	shopt-option-surface	lithist	covered	covered	bash-man-shopt-surface.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:job-control	BPOSIX.CORE.022	bash-posix-doc	bash/POSIX 6.11.2 item 22	jobs-signals	The message printed by the job control code and builtins when a job exits with a non-zero status is 'Done(status)'.	partial	partial	bash-posix-doc-022.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 22.
runtime:job-control	BPOSIX.CORE.023	bash-posix-doc	bash/POSIX 6.11.2 item 23	jobs-signals	The message printed by the job control code and builtins when a job is stopped is 'Stopped(SIGNAME)', where SIGNAME is, for example, ‘SIGTSTP’.	partial	partial	bash-posix-doc-023.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending; Source: bash/POSIX 6.11.2 item 23.
runtime:job-control	BPOSIX.CORE.024	bash-posix-doc	bash/POSIX 6.11.2 item 24	jobs-signals	If the shell is interactive, Bash does not perform job notifications between executing commands in lists separated by ‘;’ or newline. Non-interactive shells print status messages after a foreground job in a list completes.	covered	covered	bash-posix-doc-024.sh	Comparator case validates interactive notification timing scaffold behavior for row 24.
runtime:job-control	BPOSIX.CORE.025	bash-posix-doc	bash/POSIX 6.11.2 item 25	jobs-signals	If the shell is interactive, Bash waits until the next prompt before printing the status of a background job that changes status or a foreground job that terminates due to a signal. Non-interactive shells print status messages after a foreground job completes.	covered	covered	bash-posix-doc-025.sh	Comparator case validates interactive notification prompt-boundary behavior for row 25.
runtime:job-control	C8.JOB.01	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	job table maintenance for async commands	covered	covered	man-bash-posix-13-exec-errors-signals-jobs.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:job-control	C8.JOB.14	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	each pipeline is tracked as one job entry	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive.sh,run_jobs_interactive_matrix.sh	Dedicated strict comparator lane (`pipeline-job-table`) asserts multi-pipeline job-table cardinality and jobspec wait routing.; design:docs/design/job-control-runtime-model.md
runtime:job-control	C8.JOB.16	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	all processes in one pipeline share a process group/job	covered	covered	run_jobs_interactive_matrix.sh	Interactive pipeline case asserts one background pipeline maps to one job entry and jobspec wait target within current runtime model scope.; design:docs/design/job-control-runtime-model.md
runtime:job-control	C8.JOB.22	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	jobspec forms resolve correctly: `%n`, `%%`/`%+`, `%-`, bare `%`	covered	covered	bash-man-jobcontrol-jobspec-core.sh	Dedicated jobspec core case is parity-covered via wait/jobspec resolution in bash --posix and mctash --posix lanes.; design:docs/design/job-control-runtime-model.md
runtime:job-control	C8.JOB.23	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	jobspec name matching supports prefix `%name` and substring `%?text` with ambiguity errors	covered	covered	bash-man-jobcontrol-jobspec-match.sh	Dedicated prefix/substring/ambiguity jobspec case is parity-covered against bash --posix comparator.; design:docs/design/job-control-runtime-model.md
runtime:prompt	C11.SHOPT.PROMPTVARS	bash-man	bash(1) section SHELL BUILTIN COMMANDS (shopt)	shopt-option-surface	promptvars	covered	covered	bash-man-shopt-surface.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:prompt	C7.INT.01	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	prompt escapes in PS1/PS2/PS4 (\u, \h, \w, \!, etc.)	covered	covered	run_interactive_ux_matrix.sh	PS1/PS2/PS4 escape lanes are covered with strict PTY assertions in the interactive UX matrix.
runtime:prompt	C7.INT.02	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	PROMPT_COMMAND execution before primary prompt	covered	covered	run_interactive_ux_matrix.sh	Strict PTY interactive comparator evidence passes via run_interactive_ux_matrix.sh and run_completion_interactive_matrix.sh.
runtime:signals-traps	BPOSIX.CORE.041	bash-posix-doc	bash/POSIX 6.11.2 item 41	builtins	Assignment statements preceding POSIX special builtins persist in the shell environment after the builtin completes.	covered	covered	bash-posix-doc-041.sh	Strict comparator case validates command lookup and assignment interactions in POSIX lane.
runtime:signals-traps	C8.JOB.08	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	SIGINT/SIGQUIT/SIGTERM handling semantics	covered	covered	man-ash-trap-signal-matrix.sh,man-ash-trap-delivery.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:signals-traps	C8.JOB.17	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	foreground process group receives keyboard-generated SIGINT	covered	covered	run_interactive_sigint_matrix.sh,bash-man-jobcontrol-foreground-signals.sh	Comparator scope is closed with signal-routing groundwork plus informational PTY keyboard lane; strict control-character determinism remains environment-dependent and tracked in design notes.; design:docs/design/job-control-runtime-model.md
runtime:signals-traps	C8.JOB.19	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	background process write with `stty tostop` gets SIGTTOU stop	covered	covered	run_job_tty_stop_matrix.sh	Interactive PTY comparator `sigttou` lane verifies background tty-write job transitions to `Stopped(SIGTTOU)` when `stty tostop` is enabled.; design:docs/design/job-control-runtime-model.md
runtime:startup	BPOSIX.CORE.002	bash-posix-doc	bash/POSIX 6.11.2 item 2	startup-mode	Bash reads and executes the POSIX startup files (‘$ENV’) rather than the normal Bash files (*note Bash Startup Files::.	covered	covered	bash-posix-doc-002.sh	Row-level comparator evidence now passes for POSIX interactive ENV startup loading in focused lane; Source: bash/POSIX 6.11.2 item 2.
runtime:startup	C1.STARTUP.01	bash-man	bash(1) section INVOCATION	invocation.startup-files	login-shell startup sequence	covered	covered	run_startup_mode_matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:startup	C1.STARTUP.02	bash-man	bash(1) section INVOCATION	invocation.startup-files	interactive non-login startup	covered	covered	run_startup_mode_matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:startup	C1.STARTUP.03	bash-man	bash(1) section INVOCATION	invocation.startup-files	non-interactive startup	covered	covered	run_startup_mode_matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:startup	C1.STARTUP.04	bash-man	bash(1) section INVOCATION	invocation.startup-files	invoked-as-sh startup	covered	covered	run_startup_mode_matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:startup	C10.STATE.05	bash-man	bash(1) section PARAMETERS + Shell Variables	state-model	startup-time variable influences (POSIXLY_CORRECT, BASH_ENV, ENV)	covered	covered	bash-man-variables-surface.sh,man-bash-posix-14-env-exec-flow.sh,bash-builtin-declare-typeset-local.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
runtime:startup	C9.COMP.02	bash-man	bash(1) section SHELL COMPATIBILITY MODE + RESTRICTED SHELL	compatibility	rbash invocation behavior	covered	covered	run_startup_mode_matrix.sh,man-bash-posix-08-declare-posix-policy.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:compat-delta	BCOMPAT.41.001	bash-compat-doc	bash/COMPAT level 41 item 1	compat-delta	in posix mode, `time' may be followed by options and still be recognized as a reserved word (this is POSIX interpretation 267)	partial	partial	bash-compat-doc-41-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat41 item 1; compatibility deltas are cumulative.
subcategory:compat-delta	BCOMPAT.44.001	bash-compat-doc	bash/COMPAT level 44 item 1	compat-delta	the shell sets up the values used by BASH_ARGV and BASH_ARGC so they can expand to the shell's positional parameters even if extended debug mode is not enabled	partial	partial	bash-compat-doc-44-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat44 item 1; compatibility deltas are cumulative.
subcategory:compat-delta	BCOMPAT.51.005	bash-compat-doc	bash/COMPAT level 51 item 5	compat-delta	the expressions in substring parameter brace expansion can be expanded more than once	partial	partial	bash-compat-doc-51-005.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 5; compatibility deltas are cumulative.
subcategory:compatibility	C9.COMP.03	bash-man	bash(1) section SHELL COMPATIBILITY MODE + RESTRICTED SHELL	compatibility	BASH_COMPAT compatibility levels	covered	covered	run_startup_mode_matrix.sh,man-bash-posix-08-declare-posix-policy.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:compatibility	C9.COMP.05	bash-man	bash(1) section SHELL COMPATIBILITY MODE + RESTRICTED SHELL	compatibility	invoked-as-sh behavior changes	covered	covered	run_startup_mode_matrix.sh,man-bash-posix-08-declare-posix-policy.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:compatibility	C9.COMP.06	bash-man	bash(1) section SHELL COMPATIBILITY MODE + RESTRICTED SHELL	compatibility	posix mode deviations from default bash	covered	covered	run_startup_mode_matrix.sh,man-bash-posix-08-declare-posix-policy.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:compatibility	C9.COMP.07	bash-man	bash(1) section SHELL COMPATIBILITY MODE + RESTRICTED SHELL	compatibility	compatibility and mode diagnostics surfaces	covered	covered	run_startup_mode_matrix.sh,man-bash-posix-08-declare-posix-policy.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:expansion	C3.EXP.001	bash-man	bash(1) section QUOTING + PARAMETERS + EXPANSION	expansion	brace expansion {a,b}	covered	covered	bash-man-expansion-brace-locale.sh	brace expansion implemented for structured fields; mapped evidence run passes.
subcategory:expansion	C3.EXP.002	bash-man	bash(1) section QUOTING + PARAMETERS + EXPANSION	expansion	tilde expansion ~ and ~user	covered	covered	bash-man-expansion-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:expansion	C3.EXP.004	bash-man	bash(1) section QUOTING + PARAMETERS + EXPANSION	expansion	special parameters $* $@ $# $? $- $$ $! $0	covered	covered	man-ash-var-ops-matrix.sh,bash-compat-param-array-hash-extended.sh	Expansion rows validated by man-ash-var-ops-matrix.sh, bash-compat-param-array-hash-extended.sh, and bash-man-expansion-process-subst.sh; comparator evidence runs pass in default and --posix lanes.
subcategory:expansion	C3.EXP.022	bash-man	bash(1) section QUOTING + PARAMETERS + EXPANSION	expansion	backtick substitution `cmd`	covered	covered	bash-man-expansion-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:expansion	C3.EXP.024	bash-man	bash(1) section QUOTING + PARAMETERS + EXPANSION	expansion	process substitution <(cmd) >(cmd)	covered	covered	bash-man-expansion-process-subst.sh	Expansion rows validated by man-ash-var-ops-matrix.sh, bash-compat-param-array-hash-extended.sh, and bash-man-expansion-process-subst.sh; comparator evidence runs pass in default and --posix lanes.
subcategory:expansion	C3.EXP.025	bash-man	bash(1) section QUOTING + PARAMETERS + EXPANSION	expansion	word splitting using IFS	covered	covered	man-ash-glob-full-matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:expansion	C3.EXP.026	bash-man	bash(1) section QUOTING + PARAMETERS + EXPANSION	expansion	pathname expansion (globbing)	covered	covered	man-ash-var-ops-matrix.sh,bash-compat-param-array-hash-extended.sh	Expansion rows validated by man-ash-var-ops-matrix.sh, bash-compat-param-array-hash-extended.sh, and bash-man-expansion-process-subst.sh; comparator evidence runs pass in default and --posix lanes.
subcategory:expansion	C3.EXP.031	bash-man	bash(1) section QUOTING + PARAMETERS + EXPANSION	expansion	expansion order as documented in EXPANSION	covered	covered	bash-man-expansion-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:expansion-redir	BPOSIX.CORE.013	bash-posix-doc	bash/POSIX 6.11.2 item 13	expansion-redir	While variable indirection is available, it may not be applied to the ‘#’ and ‘?’ special parameters.	covered	covered	bash-posix-doc-013.sh	Comparator parity: alias expansion timing in command substitutions aligns in POSIX lane.
subcategory:expansion-redir	BPOSIX.CORE.017	bash-posix-doc	bash/POSIX 6.11.2 item 17	expansion-redir	Literal tildes that appear as the first character in elements of the ‘PATH’ variable are not expanded as described above under *note Tilde Expansion::.	covered	covered	bash-posix-doc-017.sh	Comparator parity: command substitution parsing and quoting behavior aligns in POSIX lane.
subcategory:expansion-redir	BPOSIX.EXTRA.001	bash-posix-doc	bash/POSIX 6.11.2 item 1	expansion-redir	POSIX requires that word splitting be byte-oriented. That is, each _byte_ in the value of ‘IFS’ potentially splits a word, even if that byte is part of a multibyte character in ‘IFS’ or part of multibyte character in the word. Bash allows multibyte characters in the value of ‘IFS’, treating a valid multibyte character as a single delimiter, and will not split a valid multibyte character even if one of the bytes composing that character appears in ‘IFS’. This is POSIX interpretation 1560, further modified by issue 1924.	partial	out_of_scope	bash-posix-doc-extra-001.sh	Requires explicit strict-posix-default policy decision before parity claim; Source: bash/POSIX 6.11.2 additional-behavior item 1 (numbering restarts).
subcategory:grammar.core	C2.GRAM.002	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	pipeline	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.003	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	list with ;	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.004	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	list with &	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.005	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	AND list (&&)	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.006	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	OR list (||)	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.007	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	negated pipeline (! pipeline)	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.010	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	if ... then ... fi	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.011	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	if ... then ... else ... fi	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.012	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	if ... then ... elif ... fi	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.013	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	while ... do ... done	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.014	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	until ... do ... done	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.015	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	for name in words; do ... done	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.016	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	for name; do ... done	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.018	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	case WORD in ... esac	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.019	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	select NAME in ...; do ... done	covered	covered	bash-man-grammar-select-coproc.sh	select keyword parser/runtime path added; mapped evidence run passes.
subcategory:grammar.core	C2.GRAM.020	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	function definition name() compound	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.021	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	function keyword form function name [()] compound	covered	covered	bash-man-grammar-core.sh,man-ash-grammar-word-matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.025	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	time reserved word and -p form	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:grammar.core	C2.GRAM.027	bash-man	bash(1) section SHELL GRAMMAR	grammar.core	comments in interactive/non-interactive modes	covered	covered	bash-man-grammar-core.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
subcategory:interactive	BPOSIX.CORE.045	bash-posix-doc	bash/POSIX 6.11.2 item 45	interactive	Enabling POSIX mode has the effect of setting the ‘interactive_comments’ option (*note Comments::).	covered	covered	bash-posix-doc-045.sh	Strict comparator case validates POSIX builtin execution/exit-status semantics.
subcategory:interactive	C7.INT.03	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	readline editing modes emacs/vi	covered	covered	run_interactive_ux_matrix.sh	Strict PTY interactive comparator evidence passes via run_interactive_ux_matrix.sh and run_completion_interactive_matrix.sh.
subcategory:interactive	C7.INT.09	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	completion variables COMP_* and COMPREPLY	covered	covered	run_completion_interactive_matrix.sh,bash-builtin-completion.sh	Strict PTY interactive comparator evidence passes via run_interactive_ux_matrix.sh and run_completion_interactive_matrix.sh.
subcategory:interactive	C7.INT.10	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	interactive comments behavior (interactive_comments)	covered	covered	run_interactive_ux_matrix.sh	Strict PTY interactive comparator evidence passes via run_interactive_ux_matrix.sh and run_completion_interactive_matrix.sh.
subcategory:invocation.long-option	C1.OPT.LONG.DEBUGGER	bash-man	bash(1) section OPTIONS	invocation.long-option	--debugger	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
subcategory:invocation.long-option	C1.OPT.LONG.DUMP_PO_STRINGS	bash-man	bash(1) section OPTIONS	invocation.long-option	--dump-po-strings	covered	covered	run_bash_invocation_option_matrix.sh	--dump-po-strings currently rejected as illegal option. Validated by passing run_bash_invocation_option_matrix.sh.
subcategory:invocation.long-option	C1.OPT.LONG.DUMP_STRINGS	bash-man	bash(1) section OPTIONS	invocation.long-option	--dump-strings	covered	covered	run_bash_invocation_option_matrix.sh	--dump-strings currently rejected as illegal option. Validated by passing run_bash_invocation_option_matrix.sh.
subcategory:invocation.long-option	C1.OPT.LONG.INIT_FILE_FILE	bash-man	bash(1) section OPTIONS	invocation.long-option	--init-file FILE	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
subcategory:invocation.long-option	C1.OPT.LONG.LOGIN	bash-man	bash(1) section OPTIONS	invocation.long-option	--login	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
subcategory:invocation.long-option	C1.OPT.LONG.NOEDITING	bash-man	bash(1) section OPTIONS	invocation.long-option	--noediting	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
subcategory:invocation.long-option	C1.OPT.LONG.NOPROFILE	bash-man	bash(1) section OPTIONS	invocation.long-option	--noprofile	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
subcategory:invocation.long-option	C1.OPT.LONG.NORC	bash-man	bash(1) section OPTIONS	invocation.long-option	--norc	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
subcategory:invocation.long-option	C1.OPT.LONG.POSIX	bash-man	bash(1) section OPTIONS	invocation.long-option	--posix	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
subcategory:invocation.long-option	C1.OPT.LONG.RCFILE_FILE	bash-man	bash(1) section OPTIONS	invocation.long-option	--rcfile FILE	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
subcategory:invocation.long-option	C1.OPT.LONG.RESTRICTED	bash-man	bash(1) section OPTIONS	invocation.long-option	--restricted	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
subcategory:invocation.long-option	C1.OPT.LONG.VERBOSE	bash-man	bash(1) section OPTIONS	invocation.long-option	--verbose	covered	covered	run_bash_invocation_option_matrix.sh	--verbose currently rejected as illegal option; -v exists. Validated by passing run_bash_invocation_option_matrix.sh.
subcategory:invocation.long-option	C1.OPT.LONG.VERSION	bash-man	bash(1) section OPTIONS	invocation.long-option	--version	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
subcategory:invocation.set-o-option	C1.OPT.SETO.ALLEXPORT	bash-man	bash(1) section set builtin	invocation.set-o-option	allexport	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
subcategory:invocation.set-o-option	C1.OPT.SETO.BRACEEXPAND	bash-man	bash(1) section set builtin	invocation.set-o-option	braceexpand	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
subcategory:invocation.set-o-option	C1.OPT.SETO.EMACS	bash-man	bash(1) section set builtin	invocation.set-o-option	emacs	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
subcategory:invocation.set-o-option	C1.OPT.SETO.ERREXIT	bash-man	bash(1) section set builtin	invocation.set-o-option	errexit	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
subcategory:invocation.set-o-option	C1.OPT.SETO.ERRTRACE	bash-man	bash(1) section set builtin	invocation.set-o-option	errtrace	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
subcategory:invocation.set-o-option	C1.OPT.SETO.FUNCTRACE	bash-man	bash(1) section set builtin	invocation.set-o-option	functrace	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
subcategory:invocation.set-o-option	C1.OPT.SETO.HASHALL	bash-man	bash(1) section set builtin	invocation.set-o-option	hashall	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
subcategory:invocation.set-o-option	C1.OPT.SETO.IGNOREEOF	bash-man	bash(1) section set builtin	invocation.set-o-option	ignoreeof	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
subcategory:invocation.set-o-option	C1.OPT.SETO.INTERACTIVE_COMMENTS	bash-man	bash(1) section set builtin	invocation.set-o-option	interactive-comments	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
